id,spec_B,e,a,i
a0000001,C,.07600902910070946,2.76916515450648,10.59406704424526
a0000002,B,.2303368211958249,2.772465921978979,34.8362344173523
a0000003,Sk,.2569423201751032,2.669149516961171,12.98891912630602
a0000004,V,.08872145950956178,2.361417895877277,7.141770811873426
a0000005,S,.191094508984634,2.574248918456554,5.366988248754509
a0000006,S,.2030071093939073,2.425159989654524,14.73790110045524
a0000007,S,.231205791651457,2.385333813853889,5.523651386735914
a0000010,C,.1124606576702566,3.14153917911499,3.831560034123068
a0000011,Sk,.1004722734579138,2.453109375852077,4.62988577124323
a0000012,L,.2201715820847041,2.334315086445922,8.373073838902746
a0000013,Ch,.08512143168233768,2.575981085345467,16.53612545547192
a0000014,S,.1665823107539034,2.585567305441197,9.121645531403171
a0000015,S,.1860843620330185,2.644100304490733,11.75242982472844
a0000016,X,.1335684148335463,2.923813680217348,3.096005208804772
a0000017,Sl,.1330315938582089,2.470354085478554,5.591204997025656
a0000018,S,.2176743622521839,2.29665350984091,10.12873129564968
a0000019,Ch,.1580468510700675,2.442710697047048,1.573782207412067
a0000020,S,.1420667051541423,2.409781791609093,.7087512033102101
a0000021,Xk,.1633561118067609,2.434958096420116,3.064055490537624
a0000022,X,.09767688894721703,2.914849073772346,13.71531190288359
a0000023,S,.2349839170984181,2.625683427708691,10.11425811491532
a0000024,B,.1247427752533025,3.13617131483923,.7515879347196438
a0000025,S,.2546138982140402,2.400160565214944,21.6048402596762
a0000026,S,.09014487999156065,2.654330892804783,3.563412745630886
a0000027,S,.1732258505576394,2.346664413630038,1.583713702060567
a0000028,S,.1518626130240446,2.775765930379437,9.429548932055635
a0000029,S,.0726955355107702,2.554113562629857,6.082523343833398
a0000030,Sl,.1275809997701029,2.365572136802961,2.095744438739231
a0000031,Cb,.220857013438671,3.15540230940322,26.30334740932832
a0000032,S,.08090139139834084,2.588507764324736,5.52395293096486
a0000033,Sq,.3313462799011633,2.873455536116871,1.852842637476108
a0000034,Ch,.105948046876928,2.687383409279481,5.496016768837387
a0000035,C,.2255881576779662,2.994071834875715,7.93271357081255
a0000037,S,.1756051692749518,2.64228330584972,3.070810676589737
a0000038,Cgh,.1549825281214745,2.739454925654882,6.970974779540068
a0000039,S,.1114755598748344,2.769319009699727,10.36898039874332
a0000040,S,.04702133026568632,2.267246519451427,4.257400416930347
a0000041,Ch,.2754175356653898,2.760438709250479,15.79210012048468
a0000042,L,.2228231523061669,2.441703518969128,8.514622308397911
a0000043,Sk,.1683218786649913,2.203475093031204,3.47139649784909
a0000044,Xc,.147922910861728,2.423451098520279,3.706552358884731
a0000045,C,.08443839011920974,2.720882625355706,6.603527097930387
a0000046,Xc,.1720022207911278,2.525788445245102,2.349673753913108
a0000047,B,.1298072811858983,2.881429415219778,4.97520818077294
a0000048,Ch,.0724438865232663,3.11008809457609,6.547416659615668
a0000049,Ch,.2220670204343255,3.105045614871076,3.195214934385568
a0000050,Ch,.2859855287089949,2.6487938488856,2.838219801068548
a0000051,Ch,.06755935667808723,2.365835370511375,9.977178323434973
a0000052,C,.1103692571861618,3.093091389167675,7.478752247537128
a0000054,C,.1973389661747191,2.71037790178851,11.79829500020373
a0000055,X,.142968742409928,2.759834765716024,7.180078043399917
a0000056,Xk,.2380827739019062,2.595744872041014,8.080990773256605
a0000057,S,.1134668535347681,3.151209171387807,15.2150901910628
a0000058,Ch,.04278237110554925,2.700075757582706,5.065410280430273
a0000059,B,.119291448707093,2.71183615807797,8.641685581142685
a0000060,S,.1845543493740137,2.392299537647675,3.600354383870743
a0000061,S,.1659587169233777,2.985558303930569,18.19649464790589
a0000062,Ch,.1677318330114165,3.135443051394849,2.233522772978567
a0000063,Sa,.1269055089200656,2.395430898500015,5.775580402438681
a0000064,Xe,.1255294266046353,2.681124845833428,1.309694153364259
a0000066,Ch,.1729405371299572,2.646063567466462,3.045599281980342
a0000067,S,.1854269311045259,2.421340541431656,6.030227768661032
a0000069,X,.1703273489880466,2.976722493654596,8.591269359373253
a0000070,Ch,.1804261666292311,2.615909298989354,11.59491858047739
a0000071,Xe,.1733221148836493,2.756529560476193,23.2624219679923
a0000074,C,.2364369024460758,2.783093828404418,4.070962452070505
a0000075,Xk,.3036918951779823,2.674602630154863,4.991336412731273
a0000077,Xe,.1322980569778512,2.668110944586935,2.422957846296691
a0000078,Ch,.2073652079047835,2.619441852303631,8.700973567044324
a0000079,S,.1899614085030926,2.446712333988616,4.613126624235388
a0000080,S,.200032479133778,2.295864533501763,8.675455619963959
a0000081,Cb,.2106974033807872,2.853597191311584,7.802982871284191
a0000082,Sq,.2200857339613569,2.76290133140184,2.826411725244165
a0000083,X,.08152139347955675,2.432320401078099,4.963962153769252
a0000084,Ch,.2358436915884772,2.362489791750268,9.315346853292226
a0000085,B,.194545765099498,2.651765384015089,11.96206292367353
a0000088,B,.1616429151189032,2.769174120533424,5.213931436362253
a0000089,K,.1847480527505757,2.550012155186965,16.12960260320511
a0000090,C,.1660765171508087,3.149874897516671,2.206908669609235
a0000091,Ch,.1056781138834355,2.592223971027503,2.103166133128573
a0000092,Xc,.1045333129004502,3.185736393419545,9.932002849360668
a0000093,C,.1390818477655423,2.756118499238521,8.556921425643125
a0000094,C,.09394476439439903,3.156538536515994,7.970756953848873
a0000095,Ch,.1525872344270108,3.065326794225968,12.99536764165093
a0000096,T,.1405965690791181,3.050889459357941,15.9731673336389
a0000098,Ch,.1867543762071531,2.687760365454952,15.57151830749099
a0000099,Xk,.1950032218735342,2.66570420673932,13.84727302336029
a0000100,S,.1692041577249139,3.087283252207346,6.431726467934714
a0000101,S,.1402330865078128,2.583800893261519,10.19447279811673
a0000102,C,.2520325373404748,2.662343773509722,5.176794935591281
a0000103,S,.07919874401288174,2.701656650287001,5.418388038758586
a0000104,Ch,.1605721898158354,3.145016317096632,2.790040241063087
a0000105,Ch,.177378501598387,2.373917360564135,21.44015541704821
a0000106,Cgh,.1621661366107806,3.186263512433768,4.592184152974613
a0000109,Ch,.2988889027572925,2.696073710862217,7.842543254286427
a0000110,X,.08145157110435765,2.731441254291479,5.96495350942074
a0000111,Ch,.1027068734599861,2.593214392202516,4.931572607177219
a0000112,Ch,.1277009896907783,2.433981119239214,2.59905275990915
a0000113,S,.08692281085652911,2.375661940888933,5.042971186351139
a0000114,Xk,.1353613010496481,2.678568836059156,4.935771274102565
a0000115,S,.1931026284732521,2.379582468612531,11.59296379192919
a0000116,Sk,.1420601482750189,2.766288646429152,3.564397084028128
a0000117,X,.02762770758569244,2.990315511327769,14.90248311079075
a0000118,S,.1645618626759572,2.436754880924875,7.745998492833585
a0000119,Sl,.08045541833642131,2.581258245543978,5.786176994654598
a0000120,C,.0522276155552853,3.119512826343674,6.961644652909204
a0000123,S,.120489801544295,2.694897609296021,6.413865306003039
a0000124,S,.07549287739338807,2.63077646390296,2.957084410328403
a0000125,X,.07777621346245737,2.744361968451495,4.663375606531786
a0000127,Ch,.06689319997567746,2.755449783670235,8.244857771488434
a0000128,C,.127406599950748,2.749885198422125,6.245446844962712
a0000129,X,.2120347276246057,2.868588386950578,12.26563051909311
a0000130,Ch,.2087705743299564,3.125184922777858,22.7795196003772
a0000131,Xc,.06752329487449374,2.432107242673414,4.961349142597085
a0000133,S,.1354922528032086,3.063879245257973,7.213057776974285
a0000134,Ch,.116569376938704,2.562751518889254,11.60092878443602
a0000135,Xk,.2069913825319087,2.428396219266492,2.303799898166181
a0000136,Xe,.08521459441678242,2.286339425807574,9.579215943406206
a0000139,X,.1748124627583146,2.782193067292932,10.90888279597156
a0000140,Xc,.2140709653454698,2.733948258355242,3.185417600669929
a0000141,Ch,.214850230884064,2.664283192188837,11.89775268421176
a0000142,B,.13521551389963,2.418900605762048,2.239120334353443
a0000143,Xc,.07440608249974205,2.76035722697282,11.44456921648253
a0000144,Ch,.2345040649554747,2.655049605836207,4.814381235024314
a0000145,Ch,.14416551367363,2.674520602821814,12.63561903700331
a0000146,Ch,.06726758795374101,2.718078993740406,13.10113149907183
a0000147,C,.02552290635140079,3.141319916556414,1.933842546025238
a0000148,S,.1870509993775136,2.771509056408663,25.28888453805149
a0000150,Cb,.1231662890491987,2.983200862073344,2.201283187408271
a0000151,Sl,.03327258144499343,2.591515989894868,6.434814731891269
a0000152,S,.08077999035826604,3.137107545362302,12.12480403174078
a0000154,C,.07700935331767415,3.196321089894497,20.97197182484834
a0000156,Ch,.2272117370469632,2.727097982060085,9.781852348362859
a0000158,S,.05157967421451319,2.870949344488314,1.005094902287128
a0000159,Ch,.1070181227689404,3.102688587251141,6.130813712009724
a0000160,C,.06697517257105223,2.727733590277533,3.823882058754434
a0000161,Xc,.1377381015645935,2.379041603042297,9.059606827850867
a0000162,Ch,.1807685903401747,3.016771817240037,6.091203753532741
a0000163,Ch,.1914099069263507,2.367336248384003,4.814141074796297
a0000164,X,.3464374651032295,2.632268985432172,24.47402115661442
a0000165,Cb,.08555339667333139,3.126195859897862,11.22600591317563
a0000166,Xe,.211819463240207,2.684670142987463,12.02935232549187
a0000167,Sk,.03735439703196525,2.85240070404957,2.212657604882228
a0000169,Sl,.1308888429383497,2.35800944853852,5.499467343071964
a0000170,S,.06362075821763016,2.553786541678847,14.37737864722117
a0000171,C,.1323067201038215,3.128918845080336,2.546753758355288
a0000172,L,.1140650205773529,2.380018228623428,10.01858764491464
a0000173,Xk,.2086987727908632,2.743253007434654,14.19554514696601
a0000174,S,.1411807846078337,2.862284600430505,12.12087388461741
a0000175,Cg,.233064630297079,3.182769241949296,3.218737087793336
a0000176,Ch,.170596930609761,3.181049519011109,22.67339431975154
a0000177,Ch,.2342369606841545,2.774364873208924,1.381172952335856
a0000178,S,.04327074539932856,2.460885294437401,1.89383967138446
a0000179,Sk,.1114579661596882,2.976110846851071,7.820760478961434
a0000180,Sq,.1667281098863604,2.722264502893383,.8673395719338688
a0000181,Xk,.2062531157183546,3.12556737825259,18.88803841233254
a0000182,S,.1862693063301496,2.415649159666532,2.00540673365072
a0000183,S,.350495625123845,2.790981913861323,26.38797251886011
a0000184,X,.06632125992936992,3.188001813492212,1.143016623855552
a0000185,C,.1290539581156067,2.737506641345277,23.23752856285748
a0000186,K,.1501553501037968,2.361442585526953,13.18512007268964
a0000187,Ch,.2415669601889656,2.726894086219739,10.58578496686485
a0000188,S,.1790896514108202,2.761107145727388,11.70476641725669
a0000189,Sa,.036370431961094,2.451427600047417,5.176071695831551
a0000191,Cb,.09083407912458429,2.893762679100764,11.50794189487628
a0000192,Sl,.245042137546292,2.403100506244856,6.797987969208881
a0000193,Sk,.2965189542096476,2.603086660916226,11.98025954053587
a0000194,C,.2383234054176739,2.615394837262503,18.50864899231855
a0000195,Ch,.04362852569599967,2.877853689330502,6.969879296545527
a0000196,S,.01590653744791651,3.113336492309564,7.263021046748258
a0000197,S,.1644326617576796,2.737722817951632,8.795436827188073
a0000198,S,.2269015972585369,2.45916842099915,9.321124068855674
a0000199,X,.1803174391603301,3.165695986291986,15.48102087754679
a0000200,Ch,.131892584449663,2.740229642926887,6.892692576671023
a0000201,X,.1797542771882241,2.679821434098326,5.754212998233888
a0000205,Ch,.03616130738485205,2.777709294623822,10.69505574379319
a0000206,C,.03819099944228885,2.741163845029077,3.778692994857364
a0000207,Ch,.0289485027527264,2.283614902924909,3.803286447308202
a0000208,Sk,.01227707445639486,2.892140981036559,1.745380802865123
a0000209,Xc,.05637637129320391,3.147456335587315,7.170147313881221
a0000210,Cb,.1236348263685876,2.72206261275223,5.259841496654178
a0000211,Ch,.160731280864137,3.040848688241124,3.886319972761601
a0000213,B,.144795999279169,2.752512724221684,6.801178719408871
a0000214,Xc,.03109384853101772,2.610787657924717,3.435962119385689
a0000216,Xe,.2509091006741018,2.793772620839401,13.11298700551144
a0000221,K,.1042781750066008,3.010967444252915,10.87905290836612
a0000226,S,.2038637970113612,2.711776061896482,15.96935572240533
a0000228,S,.2420271606510889,2.201790673086857,2.536220990945153
a0000230,Sl,.06158372081178713,2.382303148801977,9.450957465378288
a0000233,K,.09895647593954122,2.660010420374028,7.690881448044267
a0000234,Ld,.2454277876069205,2.385936885234098,15.37221649735775
a0000236,L,.1908261969137335,2.797464141520094,7.694642610844821
a0000237,S,.07110741501511746,2.76329712054073,9.747882092905416
a0000238,Ch,.08958052221375364,2.907010896586164,12.41114396782227
a0000240,C,.207570507122796,2.663769293833469,2.105526175148159
a0000241,B,.102761153434565,3.049875429459829,5.505041918569985
a0000242,Xc,.1215433784633293,2.860763957248385,11.35194198443942
a0000243,S,.04299574429802967,2.8606930814042,1.130194321967564
a0000244,Sa,.1369482680517751,2.174350707801855,2.845253551018618
a0000245,S,.196465351715519,3.096343732096223,5.178866306154109
a0000246,A,.1098409094503346,2.693791385302661,15.62089759565052
a0000247,Xc,.2450096965677417,2.740643845857035,24.95242620832824
a0000250,Xk,.1350850857569472,3.142700416457756,12.82049318820928
a0000253,Cb,.2629101450106395,2.648975057333826,6.738632112216882
a0000257,Ch,.1106357286151868,3.125705544627223,3.615904953937903
a0000258,S,.2041194016842478,2.615531507413228,14.3222997673654
a0000259,X,.1288441566851987,3.132889322623162,10.81762957109123
a0000261,X,.08887819254674036,2.331833576551184,3.635933841211387
